weighted_degree,Question index,Question Short
4.192218878202689,18,supernat. care rituals
4.102267626644201,29,celibacy required
4.036769980824402,17,supernat. care oaths
3.974057786378991,27,social norms prescribed
3.9346531477949207,11,afterlife belief
3.7538207527000003,15,supernat. monit. prosoc.
3.645401469627601,22,supernat. punish this life
3.6130665475576,32,bodily alterations
3.5349393390851,25,supernat. rewards this life
3.4099525484918995,5,apostates punished
3.2109573507349007,3,proselytize
3.2056651196981,13,human sacrifice
3.128790596943,2,violent conflict outside
3.0668769074260003,14,supreme god
3.0224324724432003,16,supernat. care sex
2.9712140609691997,4,polity enforce observance
2.936893738985401,1,violent conflict within
2.7815637349571,12,reincarnation karma
2.7197449344321596,35,ethical precepts
2.68865383943357,36,small-scale rituals
2.6717348926224997,37,large-scale rituals
2.6207414283296604,34,sacrifice time
2.500708382391491,19,supernat. care conversion
2.4721300459173,33,sacrifice valuable goods
2.46423672546963,21,supernat. punish afterlife
2.4629304948382003,26,messianic
2.2402614527476006,24,supernat. rewards afterlife
2.23116747480009,38,group markers
2.2132647496991003,20,supernat. punish enforce norms
2.19581823634256,30,constraints sexual activity
2.1770972502767005,8,monuments
2.0641473122260994,9,mass gather
1.8553891865657797,31,food taboos
1.85510657250229,28,conventional-moral distinction
1.8157181318748001,6,scriptures written
1.7750263075311,10,pilgrimages
1.3744226953064294,7,formal inst. interpret scripture
1.34351664296966,23,supernat. rewards enforce norms
